eng_train,eng_test,nld_train,nld_test
abortion,,bisschoppen,
abortion,,trump,
funeral,,referendum,
snp,,onlineannebelle,
coffey,,ebolacrisis,
inflation,,abortusactivist,
mcconnell,,referendum,
novel,,hillary,
impeachment,,abortusartsen,
biden,,nederland,
abortion,,verkracht,
abortion,,abortuswetten,
jurist,,ministerie,
climate,,abortussen,
melbourne,,goedemorgen,
utah,,boston,
presidential,,toneelprijzen,
abortion,,abortussen,
parliamentary,,abortusvoorstel,
twitter,,referendum,
abortion,,abortus,
abortion,,vaccinologie,
abortion,,partijprogramma,
sculpture,,zwangere,
corruption,,abortusvraagstuk,
abortion,,protestmars,
abortion,,turkijeoeigoerse,
abortion,,noorlanderredacteurirene,
abortion,,abortiondoc,
abortion,,christenunie,
contraceptive,,zwangerschapsonderbreking,
prosecutors,,abortusrecht,
marilyn,,overleden,
pregnancy,,abortusrecht,
homicide,,verkiezingsuitzending,
orford,,bolivia,
abortion,,abortuswetgeving,
abortion,,huwelijken,
abortion,,christelijke,
cheney,,trump,
policing,,abortusklinieken,
nhs,,abortuswetgeving,
inflation,,hendrikje,
abortion,,regen,
justices,,abortuswetgeving,
motherhood,,china,
abortion,,trump,
abortion,,christelijke,
glastonbury,,zwangerschappen,
abortion,,abortusklinieken,
prophylactic,,politieke,
lockdown,,abortusdemonstratie,
abortion,,abortuspraktijk,
abortionssupporters,,russische,
lawsuits,,hulsbeek,
whistleblowers,,gasvoorraad,
justices,,demonstranten,
governor,,huizingawereldkampioen,
abortion,,argentinië,
candidates,,abortuswetgeving,
constitution,,abortuswetgeving,
viewers,,christelijke,
abortion,,abortuswet,
ulster,,biobank,
nominee,,verkiezingsdebat,
abortion,,brasilia,
nsw,,abortus,
tory,,abortusvergunning,
parade,,parlementsverkiezingen,
buddhist,,buitenlandpresident,
abortion,,katholieken,
abortion,,politieke,
impeachment,,abortion,
protests,,zwangerschap,
silvio,,abortuswet,
salazar,,parlementariërs,
abortion,,russische,
firearm,,abortuswet,
palin,,katholieke,
tory,,zwangere,
reagan,,obama,
irishness,,zwangerschap,
beyoncé,,demonstranten,
depression,,boumankaja,
carter,,abortuswetgeving,
sydney,,hillary,
privacy,,polen,
abortion,,abortion,
murdochs,,hulsbeekcorrespondent,
rushdie,,moord,
patriot,,trump,
abortion,,abortusboot,
abortion,,verkrachting,
generations,,russische,
contraception,,congresdistrict,
mussolini,,abortuswetgeving,
kavanaugh,,hooggerechtshof,
abortions,,guatemala,
zealanders,,abortuswet,
parents,,cryptovaluta,
abortion,,koning,
unconstitutional,,zwangerschapsbeëindiging,
kong,,abortuswet,
meloni,,trump,
incrimination,,goedemorgen,
lgbtq,,kabinetsbeleid,
abortion,,politie,
abortion,,abortusvergunning,
democrats,,d66,
jobactive,,konijnencampagne,
partisan,,abortuswetten,
newsnight,,verkiezingsprogramma,
candidates,,abortuswetgeving,
abortion,,christelijke,
abortion,,abortuswet,
climate,,abortusarts,
joe,,abortuswetgeving,
abortion,,moeders,
ministerial,,trump,
abortion,,natriumhydroxide,
lobbying,,anticonceptiemethoden,
climate,,kavanaugh,
dignitaries,,trump,
gibson,,texas,
abortion,,verkiezingsprogramma,
agenda,,zoetenpolitiek,
privacy,,washingtonpresident,
inflation,,italiaanse,
bipartisan,,finland,
prosecuted,,goedemorgen,
civil,,abortusrecht,
democrats,,beveiligingsonderzoeker,
abortion,,trump,
senator,,abortusklinieken,
abortion,,eurocommissaris,
spending,,abortusorganisaties,
abortion,,zwangerschappen,
abortion,,abortuswet,
mbe,,democraten,
privacy,,kabinet,
emissions,,sluierwolken,
abortion,,abortuswet,
florida,,regen,
disagreements,,abortuswetgeving,
boris,,doodgeboren,
monroe,,kabinet,
italians,,veganistisch,
abortion,,hooggerechtshof,
abortion,,christelijke,
abortion,,zwangerschappen,
costs,,veiligheidsoperatie,
chilean,,abortusrecht,
justices,,max,
abortion,,abortuswetten,
surgery,,gezinsplanning,
gorbachev,,moeder,
funding,,abortusartsen,
liberal,,abortusactivist,
filibuster,,politicus,
abortion,,kardinaal,
constitution,,filmfestival,
healthcare,,groenlinks,
abortion,,verkiezingsdebat,
abortion,,trump,
wedlock,,politiek,
abortion,,abortusregels,
abortion,,audiofragmentwekdienst,
presidential,,abortuswetgeving,
osama,,koningshuispiet,
finnish,,abortuswetgeving,
milk,,brexit,
abortion,,abortussen,
protesters,,abortusdemonstranten,
logan,,republikeinen,
reducing,,pedofilie,
justices,,verkiezingen,
abortion,,democraten,
partisan,,demonstranten,
warrant,,abortions,
trump,,abortuscijfer,
abortion,,abortusrecht,
