,section,time,title,url
164,US news,2022-09-12T14:02:39Z,"‘Women are the reason we can win,’ John Fetterman says at Pennsylvania rally",https://www.theguardian.com/us-news/2022/sep/12/john-fetterman-pennsylvania-rally-abortion
512,World news,2022-09-19T06:00:34Z,Proud Boys memo reveals meticulous planning for ‘street-level violence’,https://www.theguardian.com/world/2022/sep/19/proud-boys-document-jan-6-violence
479,US news,2022-07-28T10:29:20Z,Manchin agrees deal on major Democrat domestic bill | First Thing ,https://www.theguardian.com/us-news/2022/jul/28/first-thing-manchin-agrees-deal-on-major-democrat-domestic-bill
239,US news,2022-08-11T10:21:06Z,Trump pleads the fifth in New York business investigation | First Thing,https://www.theguardian.com/us-news/2022/aug/11/first-thing-trump-pleads-the-fifth-in-new-york-business-investigation
425,World news,2022-06-24T10:21:03Z,Foetus fronts legal challenge over emissions in South Korea,https://www.theguardian.com/world/2022/jun/24/foetus-heads-legal-challenge-carbon-emissions-south-korea
484,UK news,2022-08-05T10:42:49Z,"Digested week: New York faces triple plague of rats, flies and racist mascots | Emma Brockes",https://www.theguardian.com/uk-news/2022/aug/05/digested-week-new-york-faces-triple-plague-of-rats-flies-and-racist-mascots
500,Books,2022-08-13T19:00:48Z,Salman Rushdie had started to believe his ‘life was normal again’,https://www.theguardian.com/books/2022/aug/13/salman-rushdie-had-started-to-believe-his-life-was-normal-again
70,US news,2022-07-08T18:51:29Z,Tinder owner halts political donations after support for anti-abortion group,https://www.theguardian.com/us-news/2022/jul/08/tinder-hinge-match-group-donations-abortion
318,Television & radio,2022-07-06T14:00:17Z,Keeping mum: TV’s problem with women who don’t want kids,https://www.theguardian.com/tv-and-radio/2022/jul/06/keeping-mum-tvs-problem-with-women-who-dont-want-kids
98,Opinion,2022-09-05T10:15:13Z,The abortion rights movement can learn from the Aids activism of the 80s and 90s | Moira Donegan,https://www.theguardian.com/commentisfree/2022/sep/05/abortion-rights-movement-aids-activism
305,US news,2022-08-24T20:01:03Z,Student loan forgiveness: Biden hails plan for ‘generation saddled with unsustainable debt’ – as it happened,https://www.theguardian.com/us-news/live/2022/aug/24/biden-student-loan-debt-ukraine-democrats-election-latest-updates
551,Australia news,2022-07-22T06:38:30Z,"‘Fanciful, nonsense’: case against Ben Roberts-Smith ‘based on conjecture’, lawyer tells defamation trial",https://www.theguardian.com/australia-news/2022/jul/22/fanciful-nonsense-case-against-ben-roberts-smith-based-on-conjecture-lawyer-tells-defamation-trial
30,US news,2022-07-07T15:29:57Z,Colorado governor issues executive order to protect abortion access,https://www.theguardian.com/us-news/2022/jul/07/colorado-governor-executive-order-protect-abortion
375,Life and style,2022-07-30T10:00:22Z,"‘You can’t say that!’: how to argue, better",https://www.theguardian.com/lifeandstyle/2022/jul/30/you-cant-say-that-how-to-argue-better
127,World news,2022-06-28T14:54:36Z,Labour MP in bid to include right to abortion in British bill of rights,https://www.theguardian.com/world/2022/jun/28/labour-mp-in-bid-to-include-right-to-abortion-in-british-bill-of-rights
1,Opinion,2022-09-24T13:00:06Z,US anti-abortion extremists are already waging war on IVF | Arwa Mahdawi,https://www.theguardian.com/commentisfree/2022/sep/24/republicans-ivf-abortion-week-in-patriarchy
301,World news,2022-09-23T14:01:31Z,Italian rightwing coalition makes final push before election,https://www.theguardian.com/world/2022/sep/23/italian-rightwing-coalition-makes-final-push-before-election
27,US news,2022-08-03T13:33:25Z,‘We could feel it’: Kansans celebrate upset abortion rights victory,https://www.theguardian.com/us-news/2022/aug/03/kansas-abortion-rights-referendum-reaction
89,Opinion,2022-07-06T06:00:21Z,Worried about abortion and demonic possession? You’d make a great Republican politician | Arwa Mahdawi,https://www.theguardian.com/commentisfree/2022/jul/06/worried-about-abortion-and-demonic-possession-youd-make-a-great-republican-politician
73,US news,2022-08-11T07:00:36Z,"After the fall of Roe, Republican pursuit of abortion bans appears to falter",https://www.theguardian.com/us-news/2022/aug/11/republicans-anti-abortion-policies-roe-v-wade-kansas
447,Opinion,2022-08-10T15:00:17Z,Spare me the fuss about children born ‘out of wedlock’ – this is the 21st century | Rhiannon Lucy Cosslett,https://www.theguardian.com/commentisfree/2022/aug/10/children-born-out-of-wedlock-21st-century
171,US news,2022-07-08T07:30:30Z,Pregnant women face increasingly dangerous risks as doctors flee punitive US states,https://www.theguardian.com/us-news/2022/jul/08/abortion-roe-v-wade-maternal-care-deserts-louisiana
355,US news,2022-07-12T23:28:44Z,"January 6 hearings: Trump tried to contact witness, Cheney says – as it happened",https://www.theguardian.com/us-news/live/2022/jul/12/jan-6-hearing-trump-extremist-groups-house-committee-us-politics-latest
408,US news,2022-06-27T15:51:18Z,Police arrest New York man accused of slapping Rudy Giuliani on back,https://www.theguardian.com/us-news/2022/jun/27/rudy-giuliani-slap-grocery-store-new-york-staten-island
