Created at	User	Text
2023-11-02T03:59:51.000Z	111338953022051403106604592089366171	Hoy las veganas llamamos a que se consuma el primer derecho y el más
importantes de las demás animales: la
[#libertad](https://social.politicaconciencia.org/tags/libertad), que no sean
esclavas, que no se les explote, que vivan bajo sus propios términos.

El objetivo del veganismo es emancipar a las demás animales.

El sujeto político del veganismo son las demás animales sintientes (casi
todos).

¿Por qué digo "las"?  
Porque son las personas no humanas.

¿Por qué la libertad es el más importante derecho ético? Porque sin ella
pueden hacer con nosotros lo que quieran los amos.

1 de noviembre día del
[#veganismo](https://social.politicaconciencia.org/tags/veganismo).

[#GoVegan](https://social.politicaconciencia.org/tags/GoVegan)  
[#veganism](https://social.politicaconciencia.org/tags/veganism)


2023-11-02T00:26:32.000Z	111338114136044060109296611683824782	I am a day late in my timezone but Happy World Vegan Day everyone! ☺️❤️🌱🥳🪅🎊🎉

Celebrations involved buying a box of [#vegan](https://aus.social/tags/vegan)
[#krispykreme](https://aus.social/tags/krispykreme) donuts! 😂 I got them from
my local [#7eleven](https://aus.social/tags/7eleven).

I believe they were released in
[#Australia](https://aus.social/tags/Australia) on World Vegan Day too!

I have forgotten what non vegan donuts taste like, but these were delicious!
Highly recommended. Curious if people can taste the difference. ☺️

[#vegans](https://aus.social/tags/vegans)
[#veganism](https://aus.social/tags/veganism)
[#AnimalRights](https://aus.social/tags/AnimalRights)
[#veganFood](https://aus.social/tags/veganFood)
[#veganForTheAnimals](https://aus.social/tags/veganForTheAnimals)
[#GoVegan](https://aus.social/tags/GoVegan)

\-------------------  
PS. I was going to just post this picture and be done with it, but I won't be
an [#AnnoyingVegan](https://aus.social/tags/AnnoyingVegan) without giving a
thousand words of backstory as to why these donuts actually make me a bit
happier than just for the fact that they are vegan, donuts, and are edible
(all things that excite me very much 😂). No, these donuts actually represent a
little bit of progress, and while I am 99.99% sure it had nothing to do with
me, it feels nice to imagine and pretend the fact that these donuts are now on
sale in Australia due to my pestering. So on the bird site, this is the
exchange I had with Krispy Kreme UK a year and a bit ago:

-Me: "Someone bought Krispy Kreme donuts at the office today and I missed out. But it's ok, it was worth it.

Hey @ krispykremeUK, can you tell the Australian division to make vegan
options? 🌱"

*Picture of Lisa Simpsons looking at the inside of her home while a group of people watch the boxing game with stolen cable*

-Krispykreme: "Oh noooo! What would your dream doughnut be? 👀"

-M: "Thank you so much for your response. A vegan Krispy Kreme with Oreo would blow my mind! 😋😍

I know us Australians are a bit behind the times but if you can give your
former colony a gentle kick in the bum, the vegans in Australia would much
appreciate it! 😂"

*Gif of Homer Simpsons about to boot a judge or barrister in that episode where they go to Australia*

-K: "We'll be sure to pass your suggestions over to our team 😉"

-M: "Thank you so much! 🌱🐮🐄🐣"

-M: "The best part is, I would be incredibly surprised if (done in a double blind randomised fashion 👩‍🔬🧑‍🔬🔬👨‍💻), that any person would be able to distinguish a Krispy Kreme Donut with or without chicken eggs or cow milk. So the taste & that delicious donut will still be there!🤣🍩"  
\-------------------


2023-11-01T22:24:19.000Z	111337633237747188110655611816281403	What Is Veganism? And How Is It Different To A Plant-Based Diet?
[#plantbased](https://veganism.social/tags/plantbased)
[#diet](https://veganism.social/tags/diet)
[#veganism](https://veganism.social/tags/veganism)
[#GoVegan](https://veganism.social/tags/GoVegan)
[https://plantbasednews.org/culture/ethics/what-is-
veganism/](https://plantbasednews.org/culture/ethics/what-is-veganism/)


2023-11-01T21:32:07.000Z	111337428748746416109371745996726513	Happy World Vegan Day [#vegan](https://witches.live/tags/vegan)
[#veganism](https://witches.live/tags/veganism)
[#worldveganday](https://witches.live/tags/worldveganday)
[#govegan](https://witches.live/tags/govegan)


2023-11-01T16:23:34.357Z	111336214635282771109258696454625120	Remembered what we ate on World Vegan Day last year, now dreaming of Ethiopian
food 🥺🎻

[#Lentils](https://mastodon.social/tags/Lentils)
[#Vegetables](https://mastodon.social/tags/Vegetables)
[#Food](https://mastodon.social/tags/Food)
[#FoodPorn](https://mastodon.social/tags/FoodPorn)
[#Vegan](https://mastodon.social/tags/Vegan)
[#VeganLife](https://mastodon.social/tags/VeganLife)
[#VeganFood](https://mastodon.social/tags/VeganFood)
[#Veggie](https://mastodon.social/tags/Veggie)
[#WhatVegansEat](https://mastodon.social/tags/WhatVegansEat)
[#Veganism](https://mastodon.social/tags/Veganism)
[#Protein](https://mastodon.social/tags/Protein)
[#PlantBased](https://mastodon.social/tags/PlantBased)
[#EthiopianFood](https://mastodon.social/tags/EthiopianFood)
[#AfricanFood](https://mastodon.social/tags/AfricanFood)
[#WorldVeganDay](https://mastodon.social/tags/WorldVeganDay)


2023-11-01T14:41:40.000Z	111335814038686926126768	Happy World [#Vegan](https://mastodon.cloud/tags/Vegan) Month! Ⓥ  
[https://en.wikipedia.org/wiki/World_Vegan_Day#Calendar_context](https://en.wikipedia.org/wiki/World_Vegan_Day#Calendar_context)  
[#Veganism](https://mastodon.cloud/tags/Veganism)
[#HappyWorldVeganMonth](https://mastodon.cloud/tags/HappyWorldVeganMonth)
[#HappyWorldVeganMonth2023](https://mastodon.cloud/tags/HappyWorldVeganMonth2023)
[#WVM](https://mastodon.cloud/tags/WVM)
[#WVM2023](https://mastodon.cloud/tags/WVM2023)  
(🍒🍐🍓🍅🌽🌾)(❤️🐈🐕🐔🐄🐖🦃)


2023-11-01T14:02:27.385Z	111335659757971386109258696454625120	Happy World Vegan Day! Today we celebrate our love for all beings - human &
nonhuman - & our continuing work toward justice and liberation for everyone 🌱
✊

& what better way to celebrate than dancing?

Next up on the WVD playlist: the undisputed king of fruit & vegetable rap
breakdowns, Macka B! 👑

[https://www.youtube.com/watch?v=FLqjLn0W5K0](https://www.youtube.com/watch?v=FLqjLn0W5K0)

[#WorldVeganDay](https://mastodon.social/tags/WorldVeganDay)
[#Vegan](https://mastodon.social/tags/Vegan)
[#VeganLife](https://mastodon.social/tags/VeganLife)
[#Veggie](https://mastodon.social/tags/Veggie)
[#WhatVegansEat](https://mastodon.social/tags/WhatVegansEat)
[#Veganism](https://mastodon.social/tags/Veganism)
[#PlantBased](https://mastodon.social/tags/PlantBased)
[#Ital](https://mastodon.social/tags/Ital)
[#Conscious](https://mastodon.social/tags/Conscious)
[#Playlist](https://mastodon.social/tags/Playlist)
[#Reggae](https://mastodon.social/tags/Reggae)
[#Rastafari](https://mastodon.social/tags/Rastafari)
[#WestMidlands](https://mastodon.social/tags/WestMidlands)
[#Birmingham](https://mastodon.social/tags/Birmingham)
[#Music](https://mastodon.social/tags/Music)
[#MackaB](https://mastodon.social/tags/MackaB)


2023-11-01T13:47:59.000Z	111335603042171070126768	Today is World [#Vegan](https://mastodon.cloud/tags/Vegan) Day! Ⓥ  
[https://en.wikipedia.org/wiki/World_Vegan_Day](https://en.wikipedia.org/wiki/World_Vegan_Day)  
[#Veganism](https://mastodon.cloud/tags/Veganism)
[#WorldVeganDay](https://mastodon.cloud/tags/WorldVeganDay)
[#WorldVeganDay2023](https://mastodon.cloud/tags/WorldVeganDay2023)
[#WVD](https://mastodon.cloud/tags/WVD)
[#WVD2023](https://mastodon.cloud/tags/WVD2023)  
(🍒🍐🍓🍅🌽🌾)(❤️🐈🐕🐔🐄🐖🦃)


2023-11-01T10:16:33.000Z	111334771526789062126768	The Vegan Society was founded this month in 1944. Ⓥ  
[https://en.wikipedia.org/wiki/The_Vegan_Society](https://en.wikipedia.org/wiki/The_Vegan_Society)  
[#Animals](https://mastodon.cloud/tags/Animals)
[#CakeDay](https://mastodon.cloud/tags/CakeDay)
[#DonaldWatson](https://mastodon.cloud/tags/DonaldWatson)
[#TheVeganSociety](https://mastodon.cloud/tags/TheVeganSociety)
[#TheVeganSociety79YO](https://mastodon.cloud/tags/TheVeganSociety79YO)
[#Vegan](https://mastodon.cloud/tags/Vegan)
[#Veganism](https://mastodon.cloud/tags/Veganism)  
(🍒🍐🍓🍅🌽🌾)(❤️🐈🐕🐔🐄🐖🦃)


2023-11-01T07:44:28.290Z	111334173455463811108431110488823039	🌱🌱🌱  
[#worldveganday](https://mastodon.social/tags/worldveganday)
[#vegan](https://mastodon.social/tags/vegan)
[#happyday](https://mastodon.social/tags/happyday)
[#happyanimals](https://mastodon.social/tags/happyanimals)
[#veganism](https://mastodon.social/tags/veganism)
[#govegan](https://mastodon.social/tags/govegan)
[#tryvegan](https://mastodon.social/tags/tryvegan)
[#animalliberation](https://mastodon.social/tags/animalliberation) 🌱🌱🌱


2023-11-01T07:27:56.000Z	111334108567694083109269385394262252	[#worldveganday](https://mastodon.online/tags/worldveganday)
[#vegan](https://mastodon.online/tags/vegan)
[#happyday](https://mastodon.online/tags/happyday)
[#happyanimals](https://mastodon.online/tags/happyanimals)
[#veganism](https://mastodon.online/tags/veganism) 🌱🌱🌱


2023-11-01T05:29:51.000Z	111333644567639018111155266440990677	[#activism](https://veganism.social/tags/activism)
[#animalrights](https://veganism.social/tags/animalrights)
[#vegan](https://veganism.social/tags/vegan)
[#veganism](https://veganism.social/tags/veganism)
[#wildanimals](https://veganism.social/tags/wildanimals)
[#wildanimalsuffering](https://veganism.social/tags/wildanimalsuffering)


2023-11-01T04:23:18.815Z	111333382475525801110852785349149811	The Body Shop's commemorates ‘World Vegan Day’ with its natural origin product
line

[#TBS](https://mastodon.social/tags/TBS)
[#worldveganday](https://mastodon.social/tags/worldveganday)
[#vegan](https://mastodon.social/tags/vegan)
[#veganfood](https://mastodon.social/tags/veganfood)
[#veganlife](https://mastodon.social/tags/veganlife)
[#veganism](https://mastodon.social/tags/veganism)
[#plantbased](https://mastodon.social/tags/plantbased)
[#govegan](https://mastodon.social/tags/govegan)
